id,activity_month,registration_month,region,operating_system,user_class
id_5,1,1,ROW,Unknown,New
id_7,1,1,America,Windows,New
id_147,1,1,EMEA,Unknown,New
id_151,1,1,EMEA,Windows,New
id_153,1,1,ROW,Windows,New
id_214,1,1,EMEA,Unknown,New
id_277,1,1,ROW,Unknown,New
id_281,1,1,EMEA,Windows,New
id_319,1,1,ROW,Windows,New
id_334,1,1,EMEA,Windows,New
id_348,1,1,EMEA,Windows,New
id_590,1,1,ROW,Mac,New
id_749,1,1,ROW,Windows,New
id_757,1,1,EMEA,Mac,New
id_1070,1,1,ROW,Unknown,New
id_1135,1,1,America,Unknown,New
id_1140,1,1,America,Windows,New
id_1237,1,1,ROW,Windows,New
id_1307,1,1,EMEA,Windows,New
id_1318,1,1,ROW,Windows,New
id_1386,1,1,ROW,Windows,New
id_1406,1,1,ROW,Windows,New
id_1421,1,1,EMEA,Unknown,New
id_1423,1,1,ROW,Unknown,New
id_1484,1,1,ROW,Windows,New
id_1502,1,1,America,Mac,New
id_1615,1,1,ROW,Unknown,New
id_1662,1,1,America,Windows,New
id_1679,1,1,ROW,Unknown,New
id_1697,1,1,ROW,Unknown,New
id_1736,1,1,ROW,Windows,New
id_1740,1,1,ROW,Unknown,New
id_1748,1,1,ROW,Unknown,New
id_1757,1,1,America,Mac,New
id_1868,1,1,America,Unknown,New
id_1872,1,1,EMEA,Unknown,New
id_1881,1,1,America,Mac,New
id_2070,1,1,EMEA,Windows,New
id_2075,1,1,ROW,Mac,New
id_2096,1,1,ROW,Unknown,New
id_2168,1,1,America,Unknown,New
id_2223,1,1,America,Windows,New
id_2248,1,1,America,Windows,New
id_2264,1,1,America,Windows,New
id_2265,1,1,America,Unknown,New
id_2330,1,1,ROW,Unknown,New
id_2335,1,1,ROW,Unknown,New
id_2343,1,1,ROW,Windows,New
id_2349,1,1,America,Unknown,New
id_2356,1,1,America,Windows,New
id_2394,1,1,America,Unknown,New
id_2421,1,1,EMEA,Mac,New
id_2424,1,1,ROW,Unknown,New
id_2431,1,1,ROW,Windows,New
id_2468,1,1,ROW,Unknown,New
id_2480,1,1,ROW,Unknown,New
id_2488,1,1,America,Windows,New
id_2506,1,1,ROW,Windows,New
id_2513,1,1,ROW,Windows,New
id_2523,1,1,EMEA,Unknown,New
id_2606,1,1,America,Unknown,New
id_2616,1,1,ROW,Unknown,New
id_2659,1,1,America,Mac,New
id_2667,1,1,ROW,Mac,New
id_2701,1,1,EMEA,Unknown,New
